slug;имя (RU);имя (EN);по словарю
doktor-karlos-ben-bassat;Доктор Карлос Бен-Бассат;Dr. Carlos Ben-Bassat;да
konstantin-galperin;Доктор Константин Гальперин;Dr. Konstantin Halperin;да
doktor-liron-eldor;Доктор Лирон Эльдор;Dr. Liron Eldor;да
doktor-meir-koen;Доктор Меир Коэн;Dr. Meir Cohen;да
doktor-mejtal-shaked;Доктор Мейталь Шакед;Dr. Meital Shaked;да
doktor-morsi-hashan;Доктор Морси Хашан;Dr. Morsi Hashan;нет
doktor-naomi-vajntrub;Доктор Наоми Вайнтруб;Dr. Naomi Weintraub;да
doktor-odeliya-gur;Доктор Оделия Гур;Dr. Odelia Gur;нет
doktor-orit-gotfeld;Доктор Орит Готфельд;Dr. Orit Gotfeld;да
doktor-ran-talisman;Доктор Ран Талисман;Dr. Ran Talisman;да
doktor-roj-taldermatolog;Доктор Рой Таль;Dr. Roy Tal;нет
ron-arbel;Доктор Рон Арбель;Dr. Ron Arbel;да
doktor-ronit-elhasid;Доктор Ронит Эльхасид;Dr. Ronit Elhasid;да
doktor-fredi-aviv;Доктор Фреди Авив;Dr. Fredi Aviv;нет
czvi-koen;Доктор Цви Коэн;Dr. Zvi Cohen;да
doktor-sharon-peles;Доктор Шерон Пелес;Dr. Sharon Peles;да
professor-davidovich-shlomo;Доктор Шломо Давидович;Dr. Shlomo Davidovich;да
doktor-eli-ashkenazi;Доктор Эли Ашкенази;Dr. Eli Ashkenazi;да
doktor-eran-emanuel-alon-2;Доктор Эран Эмануэль Алон;Dr. Eran Emanuel Alon;нет
yair-gorchak;Доктор Яир Горчак;Dr. Yair Gorchak;да
doktor-yakov-bar;Доктор Яков Бар;Dr. Yaakov Bar;нет
yaron-ram;Доктор Ярон Рам;Dr. Yaron Ram;да
evgenij-moshkovich;Евгений Мошкович;Evgeny Moshkovich;да
zoar-dotan;Зоар Дотан;Zohar Dotan;да
ilan-lejbovich;Илан Лейбович;Ilan Leibovich;да
irina-zhivelyuk;Ирина Живелюк;Irina Zhivelyuk;да
irina-stefanski;Ирина Стефански;Irina Stefanski;да
joav-lipskij;Йоав Липский;Yoav Lipsky;да
